Editeur,Nationalite,Chambre,Duree,Review_title,Review_score,Commentaire
Priscillia,Gabon,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · juin 2022,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Cecilia,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · juin 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Manar,Belgique,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · juin 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mourad,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · juin 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Rharrabti,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · juin 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Yahia,France,Chambre Double ou Lits Jumeaux Supérieure,10 nuits · juin 2022,,"6,0",Ce commentaire n'apparaît pas car il ne respecte pas notre charte.
Cissako,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · juin 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Ahmed,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · juin 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Sandrine,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · juin 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Maxime,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Aicha,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Castel,Nouvelle-Calédonie,Chambre Deluxe,3 nuits · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Papa,Suisse,Chambre Double ou Lits Jumeaux Standard,1 nuit · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Sarahhind,France,Chambre Deluxe,10 nuits · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Aicha,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · mars 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Azeddine,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hayat,France,Chambre Deluxe,3 nuits · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Redah,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · avril 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Dite,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · mai 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Mourad,France,Chambre Double ou Lits Jumeaux Supérieure,5 nuits · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nicolas,Belgique,Chambre Double ou Lits Jumeaux Standard,7 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Baatouche,France,Chambre Double ou Lits Jumeaux Supérieure,3 nuits · mai 2022,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Mourad,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Enora,France,Chambre Double ou Lits Jumeaux Supérieure,7 nuits · mai 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Melissa,France,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · mars 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Pascal,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · avril 2022,Décevant,"4,0",Ce client n'a pas laissé de commentaire.
Groguhe,Maroc,Chambre Double ou Lits Jumeaux Supérieure,2 nuits · mars 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Jean,France,Chambre Deluxe,3 nuits · avril 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Eloïse,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · avril 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdelkader,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · avril 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Optic,France,Chambre Deluxe,5 nuits · avril 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Sopie,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · avril 2022,Décevant,"4,0",Ce client n'a pas laissé de commentaire.
Yassine,France,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nadia,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdelhamid,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · mars 2022,Décevant,"4,0",Ce client n'a pas laissé de commentaire.
Mohamed,Maroc,Chambre Deluxe,1 nuit · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Ahmed,France,Chambre Deluxe,2 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Florence,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nabil,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · mars 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Mohamed,Maroc,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Rac,France,Chambre Double ou Lits Jumeaux Supérieure,7 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Fraoui,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mahmoud,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · mars 2022,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Badreddine,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Ilham,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abderrahman,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · mars 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Maria,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mayssae,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Ahmed,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Badreddine,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Rabhi,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hassan,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mourad,Maroc,Chambre Deluxe,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Baruk,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Sbuazzah,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Médiocre,"2,0",Ce client n'a pas laissé de commentaire.
Hassan,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdelaziz,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Adil,Rwanda,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mohamed,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdelhamid,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Idriss,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Yassine,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Yassine,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Aziz,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hassan,Maroc,Chambre Double ou Lits Jumeaux Standard,5 nuits · février 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Kenza,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2022,Nice,"6,0",Ce client n'a pas laissé de commentaire.
Mina,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · janvier 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hassan,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · janvier 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hamza,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · janvier 2022,Décevant,"4,0",Ce client n'a pas laissé de commentaire.
Mohammed,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · janvier 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Anass,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · janvier 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Aziz,Maroc,Chambre Deluxe,3 nuits · décembre 2021,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Reda-bel,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Chaimae,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · janvier 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Imane,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Meryem,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · janvier 2022,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Jamali7,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Cherrif,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · janvier 2022,Assez médiocre,"3,0",Ce client n'a pas laissé de commentaire.
Yassine,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hassan,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hassan,Maroc,Chambre Deluxe,1 nuit · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Oumaima,Maroc,Chambre Deluxe,3 nuits · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdellah,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Mustapha,Maroc,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Badreddine,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Kamal,France,Chambre Deluxe,4 nuits · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Halima,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
El,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Gharbi,Belgique,Chambre Double ou Lits Jumeaux Standard,3 nuits · décembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Olivier,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mona,Suisse,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · novembre 2021,Médiocre,"2,0",Ce client n'a pas laissé de commentaire.
Karim,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Zinebzi,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Soulaimane,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Said,Maroc,Chambre Double ou Lits Jumeaux Standard,4 nuits · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Fabien,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Laurie,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Bensliman,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · novembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Kean,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Rais,Maroc,Chambre Deluxe,1 nuit · novembre 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Aïssatou,France,Chambre Double ou Lits Jumeaux Standard,7 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hicham,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · octobre 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Leila,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Amine,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Scalabre,France,Chambre Double ou Lits Jumeaux Supérieure,3 nuits · octobre 2021,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Khalid,France,Chambre Double ou Lits Jumeaux Supérieure,3 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
El,Maroc,Chambre Double ou Lits Jumeaux Supérieure,1 nuit · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Ahmed,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Issmou,Émirats arabes unis,Chambre Double ou Lits Jumeaux Supérieure,4 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mostafa,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Loic,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Graziella,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdelaziz,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · octobre 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Ayoub,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · septembre 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Khabbach,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · octobre 2021,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Laurie,France,Chambre Double ou Lits Jumeaux Standard,10 nuits · octobre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Elena,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mohamed,Belgique,Chambre Double ou Lits Jumeaux Supérieure,5 nuits · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Houda,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2021,Excellent ! A refaire sans hésitation ! Merci équipe Racine !,10,Ce client n'a pas laissé de commentaire.
Smart,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nourredine,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · septembre 2021,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Nassim,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Hechamme,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Si,Maroc,Chambre Deluxe,2 nuits · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Asmaa,Maroc,Chambre Double ou Lits Jumeaux Standard,4 nuits · septembre 2021,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Omaima,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Younes,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · septembre 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Houda,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Youssef,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Balil,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Mohammed,Allemagne,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
El,Maroc,Chambre Deluxe,2 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Slimane,France,Chambre Double ou Lits Jumeaux Standard,7 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Soukaynat,France,Chambre Double ou Lits Jumeaux Standard,14 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Jamila,France,Chambre Double ou Lits Jumeaux Standard,8 nuits · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Dris,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Youssef,France,Chambre Deluxe,1 nuit · août 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Costel,Roumanie,Chambre Deluxe,2 nuits · juillet 2021,Décevant,"4,0",Ce client n'a pas laissé de commentaire.
Meryem,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Youssef,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · juillet 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Smart,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Samira,France,Chambre Double ou Lits Jumeaux Standard,5 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
El,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2021,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Smart,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdelbadie,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Lahcen,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · juillet 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Karim,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · juin 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Abdou,Maroc,Chambre Deluxe,1 nuit · juin 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Layla,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · juin 2021,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Steph,Belgique,Chambre Double ou Lits Jumeaux Standard,4 nuits · juillet 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Laurent,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · mars 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Brahim,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · mars 2020,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Ghizlane,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2020,Passable,"5,0",Ce client n'a pas laissé de commentaire.
V,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · février 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Youness,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · janvier 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Damien,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · janvier 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Bi,France,Chambre Double ou Lits Jumeaux Standard,6 nuits · janvier 2020,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Khalid,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · janvier 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nour,Maroc,Chambre Double ou Lits Jumeaux Standard,3 nuits · janvier 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Yassine,France,Chambre Double ou Lits Jumeaux Standard,2 nuits · janvier 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Thibaud,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · janvier 2020,Agréable,"6,0",Ce client n'a pas laissé de commentaire.
Geoffroy,France,Suite Junior,3 nuits · janvier 2020,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Patrice,France,Chambre Deluxe,1 nuit · décembre 2019,Médiocre,"2,5",Ce client n'a pas laissé de commentaire.
Mouhssine,Maroc,Chambre Double ou Lits Jumeaux Standard,7 nuits · décembre 2019,Passable,"5,0",Ce client n'a pas laissé de commentaire.
Khalid,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Kakon,France,Chambre Double ou Lits Jumeaux Standard,7 nuits · décembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Oussama,Maroc,Chambre Double ou Lits Jumeaux Standard,2 nuits · décembre 2019,Agréable,"6,7",Ce client n'a pas laissé de commentaire.
Henrikh,France,Chambre Deluxe,1 nuit · décembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nawel,France,Chambre Deluxe,1 nuit · décembre 2019,Assez médiocre,"3,3",Ce client n'a pas laissé de commentaire.
Nouhaila,Maroc,Chambre Double ou Lits Jumeaux Standard,1 nuit · décembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Nadia,France,Chambre Double ou Lits Jumeaux Standard,4 nuits · novembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Pierre,France,Chambre Double ou Lits Jumeaux Standard,3 nuits · novembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Shekina,Belgique,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2019,Assez médiocre,"3,0",Ce client n'a pas laissé de commentaire.
Stéphanie,France,Chambre Double ou Lits Jumeaux Standard,1 nuit · novembre 2019,Exceptionnel,10,Ce client n'a pas laissé de commentaire.
Anonyme,France,"1 nuit · 

septembre 2022",1 nuit · septembre 2022,Fabuleux,"9,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"8 nuits · 

août 2022",8 nuits · août 2022,"L’hôtel est bien situé le personnel au top avec une petite piscine on a passé un très bon séjour, Le petit déjeuner très","8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"6 nuits · 

août 2022",6 nuits · août 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"14 nuits · 

juillet 2022",14 nuits · juillet 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"1 nuit · 

juillet 2022",1 nuit · juillet 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"2 nuits · 

juillet 2022",2 nuits · juillet 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"2 nuits · 

juillet 2022",2 nuits · juillet 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"8 nuits · 

juin 2022",8 nuits · juin 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"6 nuits · 

mars 2022",6 nuits · mars 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"2 nuits · 

janvier 2022",2 nuits · janvier 2022,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"7 nuits · 

novembre 2021",7 nuits · novembre 2021,Bien,"7,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"1 nuit · 

octobre 2021",1 nuit · octobre 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"2 nuits · 

octobre 2021",2 nuits · octobre 2021,Fabuleux,"9,0",Ce client n'a pas laissé de commentaire.
Anonyme,Suisse,"1 nuit · 

octobre 2021",1 nuit · octobre 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"2 nuits · 

octobre 2021",2 nuits · octobre 2021,Bien,"7,0",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"3 nuits · 

octobre 2021",3 nuits · octobre 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"1 nuit · 

juillet 2021",1 nuit · juillet 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"2 nuits · 

septembre 2021",2 nuits · septembre 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"1 nuit · 

août 2021",1 nuit · août 2021,Fabuleux,"9,0",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"6 nuits · 

août 2021",6 nuits · août 2021,Bien,"7,0",Ce client n'a pas laissé de commentaire.
Anonyme,Suisse,"1 nuit · 

août 2021",1 nuit · août 2021,Superbe,"8,8",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"2 nuits · 

août 2021",2 nuits · août 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,France,"1 nuit · 

juillet 2021",1 nuit · juillet 2021,Très bien,"8,0",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"2 nuits · 

juillet 2021",2 nuits · juillet 2021,"Petit déjeuner varié,équipe accueillante je suis satisfaite","8,0",Ce client n'a pas laissé de commentaire.
Anonyme,Maroc,"2 nuits · 

mars 2020",2 nuits · mars 2020,Exceptionnel,"9,6",Ce client n'a pas laissé de commentaire.
